song_id	genius_url	artist_name	song_name
32527	Lil-dicky-staying-in-lyrics	Lil dicky	staying in
32528	Lil-dicky-flames-lyrics	Lil dicky	flames
32530	Lil-dicky-free-bread-at-the-outback-lyrics	Lil dicky	free bread at the outback
32531	Lil-dicky-ham-lyrics	Lil dicky	ham
32532	Lil-dicky-how-can-i-become-a-bawlaa-lyrics	Lil dicky	how can i become a bawlaa
32535	Lil-dicky-we-made-it-freestyle-lyrics	Lil dicky	we made it freestyle
32537	Lil-dicky-the-antagonist-ii-lyrics	Lil dicky	the antagonist ii
32538	Lil-dicky-attached-at-the-hip-lyrics	Lil dicky	attached at the hip
32539	Lil-dicky-would-you-believe-that-lyrics	Lil dicky	would you believe that
32541	Lil-dicky-sky-hooks-lyrics	Lil dicky	sky hooks
32542	Lil-dicky-the-gumption-lyrics	Lil dicky	the gumption
32543	Lil-dicky-hannibal-interlude-lyrics	Lil dicky	hannibal interlude
32544	Lil-dicky-spontaneity-lyrics	Lil dicky	spontaneity
32545	Lil-dicky-club-night-lyrics	Lil dicky	club night
32546	Lil-dicky-famous-dude-lyrics	Lil dicky	famous dude
32550	Lil-dicky-grimy-as-a-gooch-lyrics	Lil dicky	grimy as a gooch
32553	Lil-dicky-new-rap-lyrics	Lil dicky	new rap
32554	Lil-dicky-darwin-lyrics	Lil dicky	darwin
32558	Lil-dicky-scary-story-lyrics	Lil dicky	scary story
32559	Pharoahe-monch-simon-says-lyrics	Pharoahe monch	simon says
32560	Sean-price-bbq-sauce-lyrics	Sean price	bbq sauce
32561	Marco-polo-gospel-rap-lyrics	Marco polo	gospel rap
32562	Organized-konfusion-stray-bullet-lyrics	Organized konfusion	stray bullet
32563	Pharoahe-monch-official-lyrics	Pharoahe monch	official
32564	Pharoahe-monch-black-hand-side-lyrics	Pharoahe monch	black hand side
32565	Organized-konfusion-releasing-hypnotical-gases-lyrics	Organized konfusion	releasing hypnotical gases
32566	Pharoahe-monch-the-jungle-lyrics	Pharoahe monch	the jungle
32567	Pharoahe-monch-behind-closed-doors-lyrics	Pharoahe monch	behind closed doors
32568	Pharoahe-monch-the-light-lyrics	Pharoahe monch	the light
32569	Pharoahe-monch-haile-selassie-karate-lyrics	Pharoahe monch	haile selassie karate
32570	J-dilla-love-lyrics	J dilla	love
32571	Pharoahe-monch-queens-lyrics	Pharoahe monch	queens
32572	Pharoahe-monch-post-traumatic-stress-disorder-lyrics	Pharoahe monch	post traumatic stress disorder
32573	Pharoahe-monch-no-mercy-lyrics	Pharoahe monch	no mercy
32574	Pharoahe-monch-trilogy-lyrics	Pharoahe monch	trilogy
32575	Amine-spice-girl-lyrics	Amine	spice girl
32576	Amine-caroline-lyrics	Amine	caroline
32578	Amine-reel-it-in-lyrics	Amine	reel it in
32581	Amine-turf-lyrics	Amine	turf
32582	Amine-wedding-crashers-lyrics	Amine	wedding crashers
32583	Amine-blackjack-lyrics	Amine	blackjack
